FID,POINT_X,POINT_Y,Lon,Lat,PlotElevation (for cross section location - always 0),CrossSec
68,1887110.46715,7837591.94151,148.094725,-19.082289,0,G9
69,2137110.46715,7837591.94151,150.396322,-18.901306,0,G10
129,2387110.46715,7837591.94151,152.669987,-18.694059,0,G11
110,2637110.46715,7837591.94151,154.912229,-18.46209,0,G12
135,2887110.46715,7837591.94151,157.119848,-18.207073,0,G13
70,-112889.532847,8087591.94151,129.243583,-17.214351,0,H1
71,137110.467153,8087591.94151,131.587568,-17.267892,0,H2
72,387110.467153,8087591.94151,133.937823,-17.2941,0,H3
73,637110.467153,8087591.94151,136.290034,-17.292765,0,H4
74,887110.467153,8087591.94151,138.639869,-17.263895,0,H5
75,1137110.46715,8087591.94151,140.983019,-17.207725,0,H6
76,1387110.46715,8087591.94151,143.315245,-17.124708,0,H7
77,1637110.46715,8087591.94151,145.632413,-17.015503,0,H8
78,1887110.46715,8087591.94151,147.930542,-16.880968,0,H9
79,2137110.46715,8087591.94151,150.205832,-16.722139,0,H10
120,2387110.46715,8087591.94151,152.454695,-16.540214,0,H11
130,2637110.46715,8087591.94151,154.673786,-16.336529,0,H12
140,2887110.46715,8087591.94151,156.860019,-16.112537,0,H13
80,-112889.532847,8337591.94151,129.308212,-14.965608,0,I1
81,137110.467153,8337591.94151,131.626046,-15.011812,0,I2
82,387110.467153,8337591.94151,133.949825,-15.034428,0,I3
83,637110.467153,8337591.94151,136.275459,-15.033276,0,I4
84,887110.467153,8337591.94151,138.59884,-15.008363,0,I5
85,1137110.46715,8337591.94151,140.915882,-14.95989,0,I6
86,1387110.46715,8337591.94151,143.222559,-14.888241,0,I7
87,1637110.46715,8337591.94151,145.514942,-14.793979,0,I8
88,1887110.46715,8337591.94151,147.789235,-14.677834,0,I9
89,2137110.46715,8337591.94151,150.041807,-14.54069,0,I10
131,2387110.46715,8337591.94151,152.269218,-14.383569,0,I11
134,2637110.46715,8337591.94151,154.468247,-14.207611,0,I12
116,2887110.46715,8337591.94151,156.635907,-14.014059,0,I13
90,-112889.532847,8587591.94151,129.362846,-12.716191,0,J1
91,137110.467153,8587591.94151,131.658568,-12.755204,0,J2
92,387110.467153,8587591.94151,133.959968,-12.7743,0,J3
93,637110.467153,8587591.94151,136.26314,-12.773327,0,J4
94,887110.467153,8587591.94151,138.564161,-12.752292,0,J5
95,1137110.46715,8587591.94151,140.859127,-12.711363,0,J6
96,1387110.46715,8587591.94151,143.144189,-12.650859,0,J7
97,1637110.46715,8587591.94151,145.415588,-12.571252,0,J8
98,1887110.46715,8587591.94151,147.669682,-12.473151,0,J9
99,2137110.46715,8587591.94151,149.90298,-12.357295,0,J10
121,2387110.46715,8587591.94151,152.112166,-12.224538,0,J11
124,2637110.46715,8587591.94151,154.294123,-12.075835,0,J12
136,2887110.46715,8587591.94151,156.445948,-11.912226,0,J13
100,-112889.532847,8837591.94151,129.407932,-10.466201,0,K1
101,137110.467153,8837591.94151,131.685404,-10.498144,0,K2
102,387110.467153,8837591.94151,133.968338,-10.513779,0,K3
103,637110.467153,8837591.94151,136.252976,-10.512982,0,K4
104,887110.467153,8837591.94151,138.535545,-10.49576,0,K5
105,1137110.46715,8837591.94151,140.812289,-10.462248,0,K6
106,1387110.46715,8837591.94151,143.079504,-10.412706,0,K7
107,1637110.46715,8837591.94151,145.333564,-10.347515,0,K8
108,1887110.46715,8837591.94151,147.570955,-10.267171,0,K9
109,2137110.46715,8837591.94151,149.7883,-10.172273,0,K10
115,2387110.46715,8837591.94151,151.982383,-10.063515,0,K11
125,2637110.46715,8837591.94151,154.150174,-9.941673,0,K12
138,2887110.46715,8837591.94151,156.288841,-9.807593,0,K13
