92.2286608059	-43.0176306397		2.00000002337e-07
92.6807800154	-43.2259403225		2.00000002337e-07
93.1377929033	-43.4332267388		2.00000002337e-07
93.59973232	-43.6394360759		2.00000002337e-07
94.0666302203	-43.8445138202		2.00000002337e-07
94.5385175749	-44.0484047585		2.00000002337e-07
95.0154242789	-44.2510529809		2.00000002337e-07
95.4973790547	-44.4524018852		2.00000002337e-07
95.9844093504	-44.6523941833		2.00000002337e-07
96.4765412343	-44.8509719095		2.00000002337e-07
96.9737992847	-45.0480764306		2.00000002337e-07
97.4762064759	-45.2436484586		2.00000002337e-07
97.9837840607	-45.4376280652		2.00000002337e-07
98.4965514486	-45.6299546985		2.00000002337e-07
99.0145260812	-45.8205672027		2.00000002337e-07
99.5377233049	-46.0094038396		2.00000002337e-07
100.06615624	-46.1964023129		2.00000002337e-07
100.599835648	-46.3814997948		2.00000002337e-07
101.138769797	-46.5646329559		2.00000002337e-07
101.682964325	-46.7457379968		2.00000002337e-07
102.232422102	-46.9247506828		2.00000002337e-07
102.787143091	-47.101606382		2.00000002337e-07
103.34712421	-47.2762401044		2.00000002337e-07
103.912359192	-47.4485865457		2.00000002337e-07
104.482838447	-47.6185801326		2.00000002337e-07
105.058548923	-47.7861550706		2.00000002337e-07
105.639473971	-47.9512453959		2.00000002337e-07
106.225593213	-48.1137850282		2.00000002337e-07
106.816882406	-48.2737078275		2.00000002337e-07
107.413313318	-48.4309476526		2.00000002337e-07
108.0148536	-48.5854384226		2.00000002337e-07
108.62146667	-48.7371141807		2.00000002337e-07
109.233111594	-48.8859091604		2.00000002337e-07
109.849742978	-49.0317578535		2.00000002337e-07
110.471310865	-49.1745950816		2.00000002337e-07
111.09776064	-49.3143560676		2.00000002337e-07
111.729032938	-49.4509765115		2.00000002337e-07
112.365063565	-49.5843926658		2.00000002337e-07
113.005783428	-49.7145414146		2.00000002337e-07
113.65111847	-49.8413603521		2.00000002337e-07
114.300989619	-49.9647878648		2.00000002337e-07
114.955312747	-50.0847632127		2.00000002337e-07
115.61399864	-50.2012266126		2.00000002337e-07
116.276952979	-50.3141193226		2.00000002337e-07
116.944076334	-50.4233837257		2.00000002337e-07
117.615264176	-50.5289634152		2.00000002337e-07
118.290406888	-50.6308032796		2.00000002337e-07
118.969389812	-50.728849587		2.00000002337e-07
119.652093288	-50.8230500698		2.00000002337e-07
120.33839272	-50.9133540087		2.00000002337e-07
121.02815866	-50.999712315		2.00000002337e-07
121.721256892	-51.0820776127		2.00000002337e-07
122.417548549	-51.1604043186		2.00000002337e-07
123.116890229	-51.234648721		2.00000002337e-07
123.81913414	-51.3047690556		2.00000002337e-07
124.524128252	-51.3707255805		2.00000002337e-07
125.231716462	-51.4324806471		2.00000002337e-07
125.941738782	-51.4899987692		2.00000002337e-07
126.654031533	-51.5432466885		2.00000002337e-07
127.368427556	-51.5921934368		2.00000002337e-07
128.08475644	-51.6368103946		2.00000002337e-07
128.80284475	-51.6770713461		2.00000002337e-07
129.522516282	-51.712952529		2.00000002337e-07
130.24359232	-51.7444326814		2.00000002337e-07
130.965891902	-51.771493083		2.00000002337e-07
131.689232101	-51.7941175925		2.00000002337e-07
132.413428309	-51.8122926788		2.00000002337e-07
133.138294529	-51.826007449		2.00000002337e-07
133.863643674	-51.8352536694		2.00000002337e-07
134.589287868	-51.8400257822		2.00007472209e-07
135.315038753	-51.8403209169		2.64797855702e-07
136.040707798	-51.836138896		4.74225188948e-07
136.766106604	-51.8274822351		5.00021170404e-07
137.491047214	-51.8143561383		4.99999998738e-07
138.215342419	-51.7967684872		4.99999998738e-07
138.938806063	-51.7747298256		4.99999998738e-07
139.661253337	-51.748253338		4.99999998738e-07
140.382501075	-51.7173548235		4.99999998738e-07
141.10236804	-51.6820526642		4.99999998738e-07
141.820675206	-51.6423677894		4.99999998738e-07
142.537246021	-51.5983236342		4.99999998738e-07
143.251906672	-51.5499460938		4.99999998738e-07
143.964486335	-51.497263474		4.99999998738e-07
144.674817409	-51.4403064365		4.99999998738e-07
145.382735743	-51.3791079411		4.99999998738e-07
146.088080852	-51.3137031841		4.99999998738e-07
146.790696111	-51.2441295329		4.99999998738e-07
147.490428942	-51.1704264575		4.99999998738e-07
148.187130984	-51.0926354596		4.99999998738e-07
148.88065825	-51.0107999988		4.99999998738e-07
149.570871266	-50.9249654158		4.99999998738e-07
150.257635199	-50.835178855		4.99999998738e-07
150.940819963	-50.7414891837		4.99999998738e-07
151.62030032	-50.6439469113		4.99999998738e-07
152.295955957	-50.5426041058		4.99999998738e-07
152.967671549	-50.4375143109		4.99999998738e-07
153.635336816	-50.3287324611		4.99999998738e-07
154.298846554	-50.2163147974		4.99999998738e-07
154.958100662	-50.1003187818		4.99999998738e-07
155.613004147	-49.980803013		4.99999998738e-07
156.263467122	-49.8578271416		4.99999998738e-07
156.909404791	-49.7314517862		4.99999998738e-07
157.550737416	-49.6017384501		4.99999998738e-07
158.187390284	-49.4687494391		4.99999998738e-07
158.819293649	-49.3325477801		4.99999998738e-07
159.446382675	-49.1931971419		4.99999998738e-07
160.068597367	-49.0507617561		4.99999998738e-07
160.685882486	-48.9053063411		4.99999998738e-07
161.298187468	-48.7568960268		4.99999998738e-07
161.905466322	-48.6055962818		4.99999998738e-07
162.507677534	-48.4514728426		4.99999998738e-07
163.104783953	-48.2945916447		4.99999998738e-07
163.69675268	-48.1350187565		4.99999998738e-07
164.283554947	-47.9728203146		4.99999998738e-07
164.865165992	-47.8080624627		4.99999998738e-07
165.441564934	-47.6408112921		4.99999998738e-07
